lat,lon,clusters_10
-68.5,0.5,cluster_4
-69.5,0.5,cluster_1
-70.5,0.5,cluster_1
-71.5,0.5,cluster_1
-72.5,0.5,cluster_1
-73.5,0.5,cluster_1
-74.5,0.5,cluster_1
-75.5,0.5,cluster_1
-76.5,0.5,cluster_1
-77.5,0.5,cluster_1
-78.5,0.5,cluster_4
-79.5,0.5,cluster_4
-80.5,0.5,cluster_4
-81.5,0.5,cluster_4
-82.5,0.5,cluster_4
-83.5,0.5,cluster_4
-84.5,0.5,cluster_4
-85.5,0.5,cluster_4
-86.5,0.5,cluster_4
-87.5,0.5,cluster_4
-88.5,0.5,cluster_4
-89.5,0.5,cluster_4
10.5,0.5,cluster_1
11.5,0.5,cluster_1
12.5,0.5,cluster_4
13.5,0.5,cluster_4
14.5,0.5,cluster_4
15.5,0.5,cluster_4
16.5,0.5,cluster_4
17.5,0.5,cluster_9
18.5,0.5,cluster_9
19.5,0.5,cluster_9
20.5,0.5,cluster_9
21.5,0.5,cluster_9
22.5,0.5,cluster_9
23.5,0.5,cluster_9
24.5,0.5,cluster_9
25.5,0.5,cluster_9
26.5,0.5,cluster_9
27.5,0.5,cluster_9
28.5,0.5,cluster_9
29.5,0.5,cluster_9
30.5,0.5,cluster_9
31.5,0.5,cluster_4
32.5,0.5,cluster_4
33.5,0.5,cluster_4
34.5,0.5,cluster_4
35.5,0.5,cluster_4
36.5,0.5,cluster_4
37.5,0.5,cluster_9
38.5,0.5,cluster_9
39.5,0.5,cluster_9
4.5,0.5,cluster_4
40.5,0.5,cluster_9
41.5,0.5,cluster_9
42.5,0.5,cluster_9
43.5,0.5,cluster_9
44.5,0.5,cluster_9
45.5,0.5,cluster_10
46.5,0.5,cluster_10
47.5,0.5,cluster_10
48.5,0.5,cluster_10
49.5,0.5,cluster_10
5.5,0.5,cluster_1
50.5,0.5,cluster_10
51.5,0.5,cluster_4
52.5,0.5,cluster_4
53.5,0.5,cluster_4
54.5,0.5,cluster_4
55.5,0.5,cluster_4
